0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.71
0.12,0.14,-0.69
0.11,0.14,-0.71
0.11,0.14,-0.69
0.12,0.15,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.71
0.11,0.15,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.71
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.71
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.71
0.12,0.03,-0.65
0.11,0.23,-0.68
0.09,0.23,-0.69
0.12,0.12,-0.69
0.11,0.18,-0.72
0.12,0.28,-0.72
0.14,0.15,-0.69
0.09,-0.17,-0.71
0.12,0.17,-0.66
0.06,0.34,-0.69
0.14,0.15,-0.71
0.12,0.08,-0.71
0.12,0.22,-0.71
0.12,0.15,-0.69
0.12,-0.08,-0.72
0.12,0.18,-0.65
0.09,0.42,-0.71
0.14,0.11,-0.72
0.12,0.06,-0.69
0.12,0.05,-0.72
0.11,0.11,-0.69
0.11,0.14,-0.68
0.11,0.17,-0.69
0.11,0.17,-0.71
0.12,0.14,-0.71
0.11,0.12,-0.71
0.11,0.12,-0.71
0.12,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.71
0.12,0.14,-0.71
0.11,0.15,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.71
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.68
0.11,0.14,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.68
0.11,0.14,-0.71
0.12,0.14,-0.68
0.11,0.14,-0.69
0.11,0.15,-0.71
0.11,0.14,-0.68
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.12,0.15,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.12,0.15,-0.69
0.11,0.14,-0.71
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.68
0.11,0.14,-0.69
0.12,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.68
0.11,0.14,-0.69
0.12,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.71
0.12,0.14,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.71
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.68
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.14,-0.69
0.11,0.15,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.69
0.12,0.14,-0.69
0.11,0.14,-0.69
