-0.03,0.28,-0.68
-0.05,0.05,-0.74
0.00,0.45,-0.60
-0.05,0.58,-0.62
-0.05,0.35,-0.66
-0.03,0.37,-0.69
-0.02,0.38,-0.65
-0.02,0.31,-0.65
-0.05,0.08,-0.69
-0.02,0.49,-0.62
-0.05,0.65,-0.57
-0.05,0.37,-0.71
-0.05,0.25,-0.68
0.00,0.29,-0.69
-0.03,0.43,-0.62
-0.05,0.46,-0.58
-0.03,0.51,-0.63
-0.03,0.35,-0.68
-0.03,0.35,-0.68
-0.05,0.32,-0.65
-0.03,0.42,-0.60
-0.02,0.40,-0.63
-0.06,0.29,-0.66
-0.05,0.32,-0.66
-0.03,0.43,-0.63
0.00,0.48,-0.63
0.00,0.52,-0.63
-0.03,0.38,-0.66
